2024-09-02 21:45:11,104 INFO    MainThread:2566484 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-09-02 21:45:11,105 INFO    MainThread:2566484 [wandb_setup.py:_flush():77] Configure stats pid to 2566484
2024-09-02 21:45:11,105 INFO    MainThread:2566484 [wandb_setup.py:_flush():77] Loading settings from /home/dongheng/.config/wandb/settings
2024-09-02 21:45:11,105 INFO    MainThread:2566484 [wandb_setup.py:_flush():77] Loading settings from /home/dongheng/LLMR/accelerate/wandb/settings
2024-09-02 21:45:11,105 INFO    MainThread:2566484 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-02 21:45:11,105 INFO    MainThread:2566484 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-09-02 21:45:11,105 INFO    MainThread:2566484 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'accelerate/run_seq2seq.py', 'program_abspath': '/home/dongheng/LLMR/accelerate/run_seq2seq.py', 'program': 'run_seq2seq.py'}
2024-09-02 21:45:11,105 INFO    MainThread:2566484 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-02 21:45:11,105 INFO    MainThread:2566484 [wandb_init.py:_log_setup():524] Logging user logs to /home/dongheng/LLMR/accelerate/wandb/run-20240902_214511-2ugtbtut/logs/debug.log
2024-09-02 21:45:11,105 INFO    MainThread:2566484 [wandb_init.py:_log_setup():525] Logging internal logs to /home/dongheng/LLMR/accelerate/wandb/run-20240902_214511-2ugtbtut/logs/debug-internal.log
2024-09-02 21:45:11,105 INFO    MainThread:2566484 [wandb_init.py:init():607] calling init triggers
2024-09-02 21:45:11,105 INFO    MainThread:2566484 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {}
2024-09-02 21:45:11,105 INFO    MainThread:2566484 [wandb_init.py:init():657] starting backend
2024-09-02 21:45:11,105 INFO    MainThread:2566484 [wandb_init.py:init():661] setting up manager
2024-09-02 21:45:11,106 INFO    MainThread:2566484 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-02 21:45:11,107 INFO    MainThread:2566484 [wandb_init.py:init():669] backend started and connected
2024-09-02 21:45:11,110 INFO    MainThread:2566484 [wandb_init.py:init():767] updated telemetry
2024-09-02 21:45:11,166 INFO    MainThread:2566484 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-09-02 21:45:11,425 INFO    MainThread:2566484 [wandb_init.py:init():851] starting run threads in backend
